transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,units,kyc_status,state
TXN20043,INV12188,119551,2024-03-17,SIP,14545.41,1169.3219,Verified,Haryana
TXN20044,INV11756,120101,2024-08-03,SIP,2206.83,50.0196,Verified,Karnataka
TXN20045,INV10867,120122,2023-11-01,SIP,19269.51,436.7388,Verified,West Bengal
TXN20046,INV11727,120109,2022-06-17,SIP,1465.2,25.0257,Verified,Telangana
TXN20047,INV11434,120107,2025-08-24,SIP,19749.59,287.652,Verified,Delhi
TXN20048,INV10128,120108,2023-02-13,SIP,1489.12,62.7939,Verified,Bihar
TXN20049,INV10518,120123,2025-10-03,SIP,14535.27,490.7777,Verified,Delhi
TXN20050,INV11050,120116,2022-12-10,Lumpsum,123413.26,1596.2745,Verified,Haryana
TXN20051,INV10470,120103,2023-09-30,Lumpsum,117843.52,1259.014,Pending,Delhi
TXN20052,INV12359,120117,2024-03-23,SIP,5759.91,91.0099,Verified,Andhra Pradesh
TXN20053,INV10995,119062,2025-11-28,Lumpsum,63808.62,891.3896,Verified,Punjab
TXN20054,INV10496,120129,2022-03-26,SIP,13785.89,198.2528,Verified,West Bengal
TXN20055,INV10283,120125,2025-08-19,SIP,1303.65,27.27,Verified,West Bengal
TXN20056,INV12008,119062,2024-06-06,SIP,16254.04,192.1653,Verified,West Bengal
TXN20057,INV10627,120120,2022-12-27,Lumpsum,106740.62,1557.3213,Pending,Andhra Pradesh
TXN20058,INV12205,120123,2024-08-10,Lumpsum,166018.25,2621.7803,Pending,Gujarat
TXN20059,INV11321,120108,2022-06-27,SIP,22159.15,693.6068,Failed,Uttar Pradesh
TXN20060,INV11904,120129,2025-06-03,Lumpsum,78902.91,6270.5961,Verified,Rajasthan
TXN20061,INV11332,120104,2024-09-25,SIP,9515.8,286.1747,Verified,Tamil Nadu
TXN20062,INV11146,120131,2025-12-07,SIP,7630.45,699.1689,Verified,Madhya Pradesh
TXN20063,INV10783,120841,2023-05-10,Redemption,21508.55,358.6799,Failed,Andhra Pradesh
TXN20064,INV10985,120123,2025-08-15,SIP,12779.71,157.0684,Pending,Andhra Pradesh
TXN20065,INV10382,120111,2023-03-30,SIP,17602.89,468.6787,Verified,Gujarat
TXN20066,INV12383,120116,2024-08-27,Redemption,27484.25,569.087,Pending,Kerala
TXN20067,INV12255,120114,2023-12-22,Lumpsum,93480.33,2486.4389,Verified,Andhra Pradesh
TXN20068,INV10945,119777,2023-01-30,SIP,3869.31,66.4513,Verified,West Bengal
TXN20069,INV10759,120105,2023-03-20,Redemption,25241.53,335.6022,Verified,Andhra Pradesh
TXN20070,INV12149,120131,2023-08-03,SIP,20983.08,572.3358,Verified,Delhi
TXN20071,INV11479,120104,2023-09-12,Lumpsum,143063.6,6687.5692,Verified,Maharashtra
TXN20072,INV10187,118632,2025-02-07,SIP,17738.02,830.2313,Verified,Uttar Pradesh
TXN20073,INV12011,119062,2022-01-26,SIP,7824.14,147.3909,Verified,Haryana
TXN20074,INV11396,120104,2022-04-16,SIP,23585.53,445.0467,Verified,Uttar Pradesh
TXN20075,INV10268,120118,2024-10-04,SIP,14848.51,206.8597,Verified,Delhi
TXN20076,INV10622,120102,2025-02-26,SIP,3044.34,94.1436,Verified,Uttar Pradesh
TXN20077,INV12286,120119,2025-05-26,Lumpsum,159194.46,5251.8899,Verified,Haryana
TXN20078,INV12141,120117,2024-07-11,SIP,11625.3,132.9898,Verified,Madhya Pradesh
TXN20079,INV11757,120112,2025-03-10,Lumpsum,16744.91,173.6847,Verified,Haryana
TXN20080,INV10407,120106,2025-07-05,SIP,7351.51,424.774,Verified,Tamil Nadu
TXN20081,INV10983,120104,2025-02-04,SIP,4756.78,101.7132,Verified,Delhi
TXN20082,INV12433,120123,2023-08-20,SIP,6555.43,89.0369,Verified,Maharashtra
TXN20083,INV11860,119092,2025-11-08,Lumpsum,185162.65,2288.6564,Pending,Tamil Nadu
TXN20084,INV12416,120105,2024-05-20,SIP,14069.5,206.0344,Verified,Delhi
TXN20085,INV11089,120102,2022-05-27,SIP,4982.15,132.2049,Verified,Maharashtra
TXN20086,INV12332,120111,2024-06-18,SIP,12248.75,327.7853,Verified,Delhi
TXN20087,INV11649,120110,2024-10-21,SIP,12851.09,745.4329,Failed,Kerala
TXN20088,INV10164,120120,2023-10-23,Lumpsum,53821.74,2954.0864,Verified,Haryana
TXN20089,INV12357,120130,2022-02-12,SIP,17134.76,500.1974,Verified,Punjab
TXN20090,INV10165,120104,2024-08-21,Lumpsum,132044.35,1428.3318,Verified,Kerala
TXN20091,INV10744,120130,2024-06-11,SIP,20541.88,211.3037,Verified,Rajasthan
TXN20092,INV11926,120115,2024-04-16,SIP,8705.4,448.4086,Verified,West Bengal
TXN20093,INV10659,120114,2024-04-23,SIP,12891.26,185.1328,Verified,Andhra Pradesh
TXN20094,INV11641,120128,2022-03-17,Redemption,6226.87,190.3316,Verified,Telangana
TXN20095,INV10475,120118,2024-11-19,SIP,24714.86,357.2057,Verified,Bihar
TXN20096,INV12223,120122,2024-04-26,SIP,5501.98,129.2754,Verified,Maharashtra
TXN20097,INV12042,120121,2022-04-16,SIP,7409.35,340.0158,Verified,Tamil Nadu
TXN20098,INV11180,120121,2025-12-01,SIP,3914.23,40.1117,Verified,Telangana
TXN20099,INV12494,120108,2025-12-24,Lumpsum,65596.28,5840.7997,Verified,Karnataka
TXN20100,INV11672,120841,2023-04-06,SIP,22910.32,444.5989,Failed,Bihar
TXN20101,INV10482,120102,2024-10-17,SIP,18198.48,326.1465,Verified,Madhya Pradesh
TXN20102,INV11120,120119,2024-09-15,SIP,6849.54,114.8985,Verified,Telangana
TXN20103,INV11572,120105,2025-05-12,SIP,18911.02,848.57,Verified,Kerala
TXN20104,INV10286,120110,2024-04-29,SIP,23421.96,420.5292,Verified,West Bengal
TXN20105,INV10011,120111,2023-09-04,SIP,15086.51,151.0143,Verified,Bihar
TXN20106,INV12006,120102,2024-07-03,SIP,12624.19,316.2404,Verified,Kerala
TXN20107,INV12226,120117,2024-07-21,SIP,8722.66,323.3164,Verified,Madhya Pradesh
TXN20108,INV10979,120129,2024-02-24,SIP,21544.31,458.6847,Pending,Tamil Nadu
TXN20109,INV11304,120123,2025-12-15,SIP,20473.81,457.5451,Verified,Madhya Pradesh
TXN20110,INV10624,120124,2022-03-17,SIP,13054.99,206.8404,Verified,Karnataka
TXN20111,INV10412,120121,2022-07-24,SIP,22850.6,2007.7348,Verified,Kerala
TXN20112,INV10591,120119,2025-09-02,Lumpsum,19591.51,243.8657,Verified,Karnataka
TXN20113,INV11086,120114,2025-06-30,SIP,10539.6,611.7581,Verified,Andhra Pradesh
TXN20114,INV11346,120127,2024-02-18,Redemption,32086.36,357.0329,Verified,West Bengal
TXN20115,INV11999,120127,2022-03-15,SIP,2642.1,39.5497,Verified,Haryana
TXN20116,INV11178,120107,2022-07-05,SIP,24480.11,312.1138,Verified,Gujarat
TXN20117,INV10412,120121,2022-12-07,Redemption,16374.37,1299.0117,Pending,Andhra Pradesh
TXN20118,INV11329,118632,2023-08-24,SIP,9996.19,432.7115,Verified,West Bengal
TXN20119,INV12176,120119,2025-03-05,SIP,20020.47,791.369,Verified,Rajasthan
TXN20120,INV10324,120132,2024-02-23,Redemption,34790.46,634.9777,Failed,Haryana
TXN20121,INV12389,120102,2023-04-21,SIP,16309.71,317.5483,Pending,Telangana
TXN20122,INV10039,120122,2023-08-13,Lumpsum,111586.64,6702.8781,Verified,Rajasthan
TXN20123,INV11416,120130,2023-09-05,Lumpsum,192595.67,2670.1849,Verified,Rajasthan
TXN20124,INV11872,120112,2023-02-12,SIP,21480.05,1095.9884,Verified,Gujarat
TXN20125,INV11563,120129,2024-01-06,SIP,8100.94,111.0705,Verified,Haryana
TXN20126,INV10090,120118,2023-07-17,Redemption,29164.59,406.6341,Verified,Maharashtra
TXN20127,INV10201,120131,2024-10-14,SIP,22699.73,634.8248,Verified,Bihar
TXN20128,INV10943,120131,2023-12-23,SIP,16278.83,247.0974,Verified,Tamil Nadu
TXN20129,INV10561,119062,2025-07-09,SIP,1946.14,24.0339,Failed,Rajasthan
TXN20130,INV10137,120130,2024-01-18,SIP,4153.88,45.2165,Verified,Andhra Pradesh
TXN20131,INV11339,120119,2022-12-26,Redemption,8343.67,142.5131,Verified,Tamil Nadu
TXN20132,INV11499,120126,2024-10-24,SIP,7540.66,303.9486,Verified,Madhya Pradesh
TXN20133,INV11974,120111,2023-11-25,SIP,3764.07,38.9412,Verified,Punjab
TXN20134,INV10577,120107,2025-10-17,SIP,17185.75,375.505,Verified,Andhra Pradesh
TXN20135,INV12283,120116,2022-07-04,SIP,10469.79,309.7454,Verified,Punjab
TXN20136,INV10507,120122,2024-01-25,SIP,18976.28,564.8623,Verified,Rajasthan
TXN20137,INV11561,120116,2022-08-10,SIP,6611.73,539.6353,Verified,Rajasthan
TXN20138,INV12300,120113,2025-06-03,SIP,16543.66,246.2354,Verified,Tamil Nadu
TXN20139,INV11902,120112,2025-08-22,Redemption,7600.44,539.7575,Verified,Gujarat
TXN20140,INV10153,120112,2024-10-05,SIP,3332.61,37.0894,Verified,Delhi
TXN20141,INV10556,120117,2024-07-18,Lumpsum,135744.81,1765.6113,Verified,West Bengal
TXN20142,INV12213,120119,2025-04-17,SIP,18438.38,205.5853,Failed,Andhra Pradesh
TXN20143,INV10406,120124,2025-06-14,SIP,23537.27,669.117,Verified,Gujarat
TXN20144,INV11518,120106,2024-06-27,SIP,23813.32,273.7462,Verified,Telangana
TXN20145,INV10407,120116,2025-01-20,SIP,24468.22,578.7097,Verified,Madhya Pradesh
TXN20146,INV11631,120110,2023-01-24,Lumpsum,190057.1,2257.8217,Failed,Delhi
TXN20147,INV10376,120106,2025-08-07,SIP,15331.5,1285.9655,Verified,Rajasthan
TXN20148,INV11367,120108,2022-09-15,Redemption,29099.74,1799.0662,Verified,Punjab
TXN20149,INV12271,120106,2025-04-15,Redemption,41026.54,1324.7238,Verified,Tamil Nadu
TXN20150,INV10605,120131,2022-01-06,SIP,21601.75,938.3123,Verified,Uttar Pradesh
TXN20151,INV10533,120127,2023-05-29,SIP,5187.93,74.6516,Verified,Punjab
TXN20152,INV10106,120101,2022-01-31,SIP,19959.63,635.3769,Verified,West Bengal
TXN20153,INV11327,119551,2022-12-23,SIP,2257.58,29.413,Verified,Uttar Pradesh
TXN20154,INV12155,119777,2022-05-11,SIP,11758.61,276.1306,Verified,Telangana
TXN20155,INV12432,119062,2024-07-14,SIP,6317.19,96.6528,Verified,Kerala
TXN20156,INV12136,120112,2024-07-27,SIP,24136.63,1559.7895,Verified,Rajasthan
TXN20157,INV11962,120118,2024-05-23,SIP,3591.08,48.4521,Verified,Rajasthan
TXN20158,INV11817,119092,2022-06-15,SIP,15599.14,980.375,Verified,West Bengal
TXN20159,INV11127,120132,2025-07-20,Redemption,28321.11,721.2503,Verified,Haryana
TXN20160,INV12447,120126,2023-08-27,Lumpsum,103582.46,2126.1667,Verified,Telangana
TXN20161,INV10469,120128,2023-03-17,SIP,11837.32,387.2908,Verified,Gujarat
TXN20162,INV11389,120122,2024-03-27,Redemption,37021.4,970.9423,Verified,Gujarat
TXN20163,INV11281,120109,2024-02-06,SIP,17483.7,331.8591,Verified,Karnataka
TXN20164,INV10374,120841,2022-07-10,SIP,3317.55,43.3714,Verified,Gujarat
TXN20165,INV10533,120128,2022-05-03,SIP,23958.99,395.6795,Verified,Haryana
TXN20166,INV10501,120119,2023-12-26,Redemption,33936.34,437.7438,Verified,Bihar
TXN20167,INV10211,120111,2025-05-14,Lumpsum,73571.01,1186.3868,Pending,Uttar Pradesh
TXN20168,INV10872,120102,2025-09-06,Lumpsum,48727.75,2468.5209,Verified,Telangana
TXN20169,INV12279,120116,2022-08-24,SIP,7685.64,253.1976,Verified,Punjab
TXN20170,INV11758,120128,2025-06-27,SIP,17199.44,286.149,Verified,Haryana
TXN20171,INV12495,120110,2022-03-01,SIP,7558.49,96.1434,Verified,Karnataka
TXN20172,INV11392,120115,2022-01-13,SIP,21876.7,358.8174,Verified,Karnataka
TXN20173,INV11642,119092,2022-10-18,SIP,16196.13,1269.3749,Verified,Andhra Pradesh
TXN20174,INV12173,120106,2024-02-10,SIP,11887.5,491.8931,Pending,Gujarat
TXN20175,INV11277,120113,2025-03-08,Lumpsum,21566.62,1463.6526,Verified,Haryana
TXN20176,INV10645,120132,2022-04-12,SIP,2957.96,59.3013,Failed,Rajasthan
TXN20177,INV11737,120124,2025-05-28,Lumpsum,85765.83,2917.0854,Verified,Telangana
TXN20178,INV12099,119777,2023-12-08,SIP,3661.35,51.5396,Verified,Gujarat
TXN20179,INV12430,120124,2024-12-15,SIP,8402.07,281.5079,Verified,Rajasthan
TXN20180,INV12455,118632,2022-01-16,SIP,8234.06,283.8249,Pending,Tamil Nadu
TXN20181,INV10563,120109,2023-08-16,SIP,3879.62,70.8416,Pending,West Bengal
TXN20182,INV11764,120104,2022-09-22,SIP,13781.98,448.7788,Verified,Gujarat
TXN20183,INV12289,120115,2022-05-28,SIP,21682.34,1570.3643,Verified,Gujarat
TXN20184,INV10077,120122,2022-06-09,SIP,8513.46,175.0459,Failed,Bihar
TXN20185,INV11657,120119,2023-08-16,Lumpsum,83981.3,866.1619,Verified,Delhi
TXN20186,INV10704,120132,2024-07-31,SIP,17550.64,412.3087,Verified,Bihar
TXN20187,INV11789,119062,2023-05-14,Lumpsum,119829.9,2096.518,Verified,Gujarat
TXN20188,INV11622,120112,2023-11-27,SIP,8993.65,357.8573,Verified,Tamil Nadu
TXN20189,INV12091,119777,2024-12-22,SIP,5653.69,70.7945,Verified,Kerala
TXN20190,INV11439,120102,2023-04-29,Redemption,9029.32,325.3286,Verified,Delhi
TXN20191,INV12468,120102,2025-09-04,Lumpsum,39543.5,497.0503,Verified,Delhi
TXN20192,INV12024,120122,2025-02-28,SIP,14907.23,209.0717,Verified,Punjab
TXN20193,INV12313,120132,2023-10-24,SIP,24303.35,632.0356,Verified,Bihar
TXN20194,INV11802,119092,2024-08-18,Redemption,32306.49,395.5751,Verified,Telangana
TXN20195,INV12423,118632,2023-12-22,Redemption,5561.15,107.8645,Verified,Kerala
TXN20196,INV10155,118632,2024-01-26,Lumpsum,60980.02,896.5016,Verified,Bihar
TXN20197,INV10370,120132,2025-05-01,SIP,10227.58,164.3522,Verified,Kerala
TXN20198,INV10169,120121,2025-03-16,Redemption,11035.49,171.2242,Pending,Rajasthan
TXN20199,INV12054,120102,2022-05-07,SIP,3484.05,38.3194,Verified,Telangana
TXN20200,INV11407,120841,2024-10-30,Lumpsum,38648.99,1196.6767,Verified,Rajasthan
TXN20201,INV11794,120121,2024-12-09,Redemption,31270.66,731.4635,Verified,Kerala
TXN20202,INV11159,120117,2024-04-17,SIP,9120.81,142.9376,Verified,Punjab
TXN20203,INV11371,119092,2023-11-07,Lumpsum,113802.83,2540.7647,Pending,Delhi
TXN20204,INV11033,120131,2022-11-04,SIP,2956.05,42.3958,Verified,West Bengal
TXN20205,INV11433,120112,2025-09-05,Redemption,33782.49,1563.5952,Failed,Andhra Pradesh
TXN20206,INV10348,120112,2025-02-18,SIP,16443.84,415.638,Failed,Gujarat
TXN20207,INV10524,120126,2022-07-11,SIP,17090.94,306.4872,Verified,Rajasthan
TXN20208,INV10075,120116,2023-09-25,SIP,23828.06,584.6529,Verified,Karnataka
TXN20209,INV11992,120105,2023-04-09,SIP,4718.68,128.8507,Verified,Karnataka
TXN20210,INV10415,120125,2025-01-10,SIP,18727.46,326.3315,Verified,Bihar
TXN20211,INV11380,120132,2022-09-26,SIP,10041.28,408.1448,Verified,Haryana
TXN20212,INV10679,120121,2022-03-31,Redemption,19486.37,260.6429,Pending,Gujarat
TXN20213,INV11820,120132,2023-08-07,SIP,18964.88,376.261,Verified,Punjab
TXN20214,INV12188,120108,2023-09-26,Lumpsum,157952.2,1728.9426,Pending,Punjab
TXN20215,INV10795,120116,2025-10-21,SIP,24626.56,477.7107,Verified,Haryana
TXN20216,INV11155,120117,2024-10-26,SIP,11047.86,449.3697,Verified,Kerala
TXN20217,INV10818,120131,2022-10-11,Lumpsum,53750.63,793.8815,Verified,Bihar
TXN20218,INV11521,120128,2022-07-30,SIP,21301.41,245.9607,Verified,Andhra Pradesh
TXN20219,INV11168,120841,2022-11-25,SIP,11783.66,209.6672,Verified,Uttar Pradesh
TXN20220,INV11792,120841,2023-03-31,SIP,11827.07,285.2463,Failed,Bihar
TXN20221,INV10110,120119,2022-04-20,SIP,13048.17,417.9423,Verified,Gujarat
TXN20222,INV10335,120116,2023-04-05,SIP,8648.44,457.1666,Failed,Maharashtra
TXN20223,INV11374,120102,2022-10-09,SIP,7885.11,93.1182,Verified,Maharashtra
TXN20224,INV10569,120123,2024-07-07,SIP,1126.03,65.7332,Verified,Haryana
TXN20225,INV11049,120106,2022-11-03,Redemption,47130.85,727.3368,Verified,Kerala
TXN20226,INV11734,119777,2023-08-14,SIP,8227.63,575.4614,Verified,Tamil Nadu
TXN20227,INV11720,120132,2024-07-25,Lumpsum,26617.29,291.0163,Verified,Delhi
TXN20228,INV12445,120127,2022-02-03,SIP,13369.02,420.7477,Verified,Rajasthan
TXN20229,INV10589,120111,2024-05-29,Lumpsum,124887.87,3945.8068,Verified,Maharashtra
TXN20230,INV11707,120104,2025-09-22,SIP,3054.73,31.2604,Verified,Rajasthan
TXN20231,INV10278,120126,2025-01-19,Redemption,39747.79,713.7838,Verified,Kerala
TXN20232,INV10084,120117,2024-08-20,SIP,16256.1,165.3832,Verified,Maharashtra
TXN20233,INV11039,119551,2024-01-02,SIP,2621.43,82.6915,Verified,Punjab
TXN20234,INV10425,120130,2023-11-12,Lumpsum,13645.46,230.7267,Verified,Karnataka
TXN20235,INV10718,120122,2025-11-25,SIP,16161.66,194.6372,Verified,Telangana
TXN20236,INV10259,120122,2022-03-17,Lumpsum,44310.24,545.6938,Verified,Uttar Pradesh
TXN20237,INV10172,120113,2023-09-28,SIP,10557.38,126.6077,Pending,Kerala
TXN20238,INV11940,120109,2022-03-16,SIP,16525.61,462.2551,Verified,Punjab
TXN20239,INV10196,120114,2023-07-14,SIP,20184.22,409.2035,Verified,Delhi
TXN20240,INV11639,120121,2024-03-02,SIP,24369.37,445.8495,Verified,West Bengal
TXN20241,INV12038,120116,2024-11-29,SIP,20227.55,268.1372,Failed,Uttar Pradesh
TXN20242,INV10324,120120,2025-05-18,SIP,5330.96,146.2983,Verified,Bihar
TXN20243,INV10421,120841,2023-11-03,SIP,8095.36,161.4795,Verified,Rajasthan
TXN20244,INV11746,120103,2025-11-13,SIP,9437.13,683.2576,Verified,Telangana
TXN20245,INV11445,120132,2024-06-09,SIP,16347.26,201.2391,Pending,Uttar Pradesh
TXN20246,INV10235,119092,2025-10-06,Lumpsum,84211.0,1499.0101,Pending,Rajasthan
TXN20247,INV10656,119551,2022-10-20,SIP,15581.75,194.0005,Verified,Bihar
TXN20248,INV10143,120101,2022-05-18,SIP,19684.37,458.1003,Verified,Tamil Nadu
TXN20249,INV11569,120129,2022-03-08,Lumpsum,34920.44,691.5893,Verified,Haryana
TXN20250,INV11520,120116,2024-06-28,SIP,2845.25,127.0623,Verified,Punjab
TXN20251,INV11504,120118,2023-10-06,SIP,7688.55,79.718,Verified,Rajasthan
TXN20252,INV10107,120104,2024-10-19,Lumpsum,80462.54,1328.8492,Verified,Kerala
TXN20253,INV11073,120109,2025-12-12,SIP,6149.69,94.5104,Verified,Telangana
TXN20254,INV12012,120105,2022-09-09,Lumpsum,171301.13,3379.7977,Verified,Karnataka
TXN20255,INV11824,120841,2025-10-28,SIP,24677.79,352.0089,Verified,Bihar
TXN20256,INV10266,120128,2025-01-15,SIP,22391.96,258.5003,Verified,Uttar Pradesh
TXN20257,INV10714,120116,2024-11-07,SIP,3912.7,139.3003,Verified,Tamil Nadu
TXN20258,INV10569,120108,2024-10-08,SIP,9661.52,157.0852,Verified,Maharashtra
TXN20259,INV11915,120128,2022-09-23,SIP,22221.91,1396.0828,Verified,Haryana
TXN20260,INV11631,120123,2024-12-12,Redemption,38919.9,462.7782,Verified,Gujarat
TXN20261,INV10303,120101,2023-10-12,SIP,2779.96,53.538,Verified,Rajasthan
TXN20262,INV12120,120115,2022-09-20,SIP,20897.29,350.5239,Verified,Madhya Pradesh
TXN20263,INV12408,120104,2022-09-22,SIP,13068.73,148.274,Verified,Gujarat
TXN20264,INV10509,120126,2022-11-10,Redemption,9903.54,253.6802,Verified,Uttar Pradesh
TXN20265,INV10924,120115,2024-11-28,SIP,7817.16,457.2136,Verified,Madhya Pradesh
TXN20266,INV10805,120128,2023-07-17,SIP,16000.54,245.0367,Verified,Karnataka
TXN20267,INV10383,120125,2025-08-05,Redemption,30406.81,488.3986,Verified,Karnataka
TXN20268,INV10702,120132,2025-05-24,SIP,21220.72,349.4525,Verified,West Bengal
TXN20269,INV10117,120841,2022-04-04,SIP,19504.54,576.7327,Verified,Rajasthan
TXN20270,INV10864,120129,2024-05-03,SIP,16335.79,297.971,Verified,Haryana
TXN20271,INV12235,120111,2025-08-07,SIP,12590.68,152.7589,Verified,Uttar Pradesh
TXN20272,INV11664,120112,2024-07-17,SIP,17526.73,723.4307,Verified,Delhi
TXN20273,INV11703,120123,2024-08-09,SIP,9164.62,399.675,Verified,Tamil Nadu
TXN20274,INV11308,120115,2024-03-27,Lumpsum,153329.67,2721.1098,Verified,Karnataka
TXN20275,INV10435,120113,2023-05-11,Lumpsum,28891.77,572.5265,Verified,Telangana
TXN20276,INV10578,119062,2022-04-14,SIP,23689.24,269.8867,Verified,Uttar Pradesh
TXN20277,INV11713,120108,2022-11-24,Lumpsum,68849.99,1110.63,Verified,Bihar
TXN20278,INV11281,120105,2022-11-23,SIP,24903.27,478.786,Pending,Telangana
TXN20279,INV11264,120124,2022-02-17,Redemption,47371.17,853.6884,Verified,Delhi
TXN20280,INV10987,120106,2025-04-09,Lumpsum,14488.34,410.1781,Verified,West Bengal
TXN20281,INV12448,120123,2023-08-09,SIP,1196.26,60.8018,Verified,Kerala
TXN20282,INV10549,120109,2024-01-20,SIP,10678.1,758.8289,Verified,Punjab
TXN20283,INV10210,120129,2025-02-24,SIP,9700.57,269.6539,Verified,Tamil Nadu
TXN20284,INV11583,120125,2024-07-11,Redemption,28393.14,336.8985,Verified,Punjab
TXN20285,INV10487,120101,2022-07-18,Redemption,19913.52,201.5316,Verified,Gujarat
TXN20286,INV12285,120116,2022-10-23,Lumpsum,122480.28,2655.4084,Verified,Tamil Nadu
TXN20287,INV10165,120503,2022-03-21,SIP,18126.2,220.0932,Verified,Karnataka
TXN20288,INV12128,120122,2022-11-02,SIP,22435.16,993.5728,Verified,Haryana
TXN20289,INV11305,120103,2024-03-15,SIP,18743.66,507.5306,Verified,Haryana
TXN20290,INV11378,120125,2024-11-09,SIP,12756.32,210.2811,Verified,Kerala
TXN20291,INV11946,119551,2024-01-25,SIP,17171.35,174.8773,Failed,West Bengal
TXN20292,INV12391,120112,2025-11-10,SIP,1639.53,31.1029,Verified,Rajasthan
TXN20293,INV12370,120129,2023-04-12,SIP,2232.52,41.9328,Failed,Andhra Pradesh
TXN20294,INV12148,120132,2024-02-18,SIP,20719.87,651.6156,Verified,Karnataka
TXN20295,INV12346,119777,2023-01-26,SIP,11584.93,242.9204,Verified,Maharashtra
TXN20296,INV11692,120106,2024-04-20,SIP,19599.34,211.0931,Verified,Kerala
TXN20297,INV10256,120101,2024-11-28,SIP,14461.28,144.8575,Verified,Tamil Nadu
TXN20298,INV11960,120126,2024-02-11,SIP,23960.45,466.4314,Verified,West Bengal
TXN20299,INV12184,120114,2025-01-23,SIP,17220.85,195.494,Verified,West Bengal
